scenario,phase,player_id,web_name,club_short,position,cost,expected_role,gw1_xp,gw2_xp,gw3_xp,gw4_xp,gw5_xp,gw6_xp,is_starter_gw1,is_starter_gw2,is_starter_gw3,is_starter_gw4,is_starter_gw5,is_starter_gw6
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),562,Maeda,IPS,MID,5.5,Regular Starter,3.92,3.65,3.55,0.0,0.0,0.0,True,False,False,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),346,Calvert-Lewin,LEE,FWD,6.0,Nailed Starter,3.88,3.85,3.57,0.0,0.0,0.0,True,False,False,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),109,Verbruggen,BHA,GKP,4.5,Nailed Starter,3.63,3.28,3.52,0.0,0.0,0.0,True,False,False,False,False,False
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),411,Haaland,MCI,FWD,15.5,Nailed Starter,0.0,0.0,0.0,5.93,6.35,6.33,False,False,False,True,True,True
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),4,Gabriel,ARS,DEF,8.0,Nailed Starter,0.0,0.0,0.0,5.59,5.37,5.42,False,False,False,True,True,True
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),504,Vuskovic,BHA,DEF,5.0,Nailed Starter,0.0,0.0,0.0,5.41,4.46,5.37,False,False,False,True,True,True
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),8,Calafiori,ARS,DEF,5.5,Regular Starter,0.0,0.0,0.0,5.19,5.01,5.1,False,False,False,True,True,True
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),557,Tzolis,ARS,MID,6.5,Regular Starter,0.0,0.0,0.0,5.11,4.88,5.23,False,False,False,True,True,True
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),154,Palmer,CHE,MID,9.5,Nailed Starter,0.0,0.0,0.0,4.88,5.25,5.98,False,False,False,True,True,True
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),130,Wieffer,BHA,DEF,5.0,Nailed Starter,0.0,0.0,0.0,4.81,4.21,4.81,False,False,False,True,True,True
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),388,Guéhi,MCI,DEF,6.0,Nailed Starter,0.0,0.0,0.0,4.42,4.83,4.51,False,False,False,True,True,True
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),208,Sarr,CRY,MID,6.5,Nailed Starter,0.0,0.0,0.0,4.47,4.15,4.82,False,False,False,True,True,True
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),165,João Pedro,CHE,FWD,7.5,Nailed Starter,0.0,0.0,0.0,4.18,4.47,5.0,False,False,False,True,True,True
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),384,Donnarumma,MCI,GKP,5.5,Nailed Starter,0.0,0.0,0.0,3.77,4.31,3.88,False,False,False,True,True,True
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),289,Crooks,HUL,MID,4.5,Regular Starter,0.0,0.0,0.0,2.89,3.02,2.71,False,False,False,False,False,False
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),321,Walle Egeli,IPS,FWD,4.5,Regular Starter,0.0,0.0,0.0,2.76,2.83,2.82,False,False,False,False,False,False
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),567,Horníček,NEW,GKP,4.5,Regular Starter,0.0,0.0,0.0,2.74,2.36,2.77,False,False,False,False,False,False
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),570,Palacios,FUL,MID,4.5,Regular Starter,0.0,0.0,0.0,2.45,2.48,2.55,False,False,False,False,False,False
