squad_label,player_id,web_name,club_short,position,cost,expected_role,is_starter,per90_defcon,per90_xg,per90_xa,gw1_xp,gw1_xmins,gw2_xp,gw2_xmins,gw3_xp,gw3_xmins,gw4_xp,gw4_xmins,gw5_xp,gw5_xmins,gw6_xp,gw6_xmins
"WC4 Option 1 (Unconstrained, min 3 LIV)",562,Maeda,IPS,MID,5.5,Regular Starter,True,7.69,0.455,0.175,,,,,,,3.84,62.0,3.85,62.0,4.79,62.0
"WC4 Option 1 (Unconstrained, min 3 LIV)",350,A.Becker,LIV,GKP,5.5,Nailed Starter,False,0.0,0.0,0.0024,,,,,,,4.25,77.5,3.58,77.5,3.02,77.5
"WC4 Option 1 (Unconstrained, min 3 LIV)",362,Jacquet,LIV,DEF,5.0,Regular Starter,False,10.87,0.045,0.085,,,,,,,4.17,62.0,3.51,62.0,2.95,62.0
"WC4 Option 1 (Unconstrained, min 3 LIV)",193,Wright,COV,FWD,5.5,Regular Starter,True,5.279,0.57,0.11,,,,,,,4.06,62.0,3.37,62.0,4.17,62.0
"WC4 Option 1 (Unconstrained, min 3 LIV)",372,Mac Allister,LIV,MID,5.5,Nailed Starter,False,6.482,0.1221,0.1192,,,,,,,3.58,77.5,3.18,77.5,2.82,77.5
"WC4 Option 1 (Unconstrained, min 3 LIV)",295,McBurnie,HUL,FWD,5.5,Regular Starter,False,0.0,0.4862,0.1393,,,,,,,2.55,62.0,3.16,62.0,3.07,62.0
"WC4 Option 2 (Cheap DEF <= £31.5m, min 3 LIV)",411,Haaland,MCI,FWD,15.5,Nailed Starter,True,2.1852,0.8293,0.0767,,,,,,,4.15,77.5,6.86,77.5,4.07,77.5
"WC4 Option 2 (Cheap DEF <= £31.5m, min 3 LIV)",154,Palmer,CHE,MID,9.5,Nailed Starter,True,4.314,0.5104,0.1947,,,,,,,6.04,77.5,4.78,77.5,4.8,77.5
"WC4 Option 2 (Cheap DEF <= £31.5m, min 3 LIV)",504,Vuskovic,BHA,DEF,5.0,Nailed Starter,True,12.45,0.185,0.035,,,,,,,5.73,77.5,3.74,77.5,4.61,77.5
"WC4 Option 2 (Cheap DEF <= £31.5m, min 3 LIV)",208,Sarr,CRY,MID,6.5,Nailed Starter,True,5.9944,0.4061,0.1376,,,,,,,5.41,77.5,4.36,77.5,4.37,77.5
"WC4 Option 2 (Cheap DEF <= £31.5m, min 3 LIV)",379,Isak,LIV,FWD,9.0,Nailed Starter,True,2.6713,0.5357,0.0612,,,,,,,4.86,77.5,4.0,77.5,3.22,77.5
"WC4 Option 2 (Cheap DEF <= £31.5m, min 3 LIV)",237,Ndiaye,EVE,MID,6.0,Nailed Starter,True,9.4948,0.2237,0.0966,,,,,,,3.99,77.5,4.61,77.5,4.63,77.5
"WC4 Option 2 (Cheap DEF <= £31.5m, min 3 LIV)",366,Wirtz,LIV,MID,7.5,Nailed Starter,True,6.6723,0.2589,0.1949,,,,,,,4.63,77.5,3.93,77.5,3.29,77.5
"WC4 Option 2 (Cheap DEF <= £31.5m, min 3 LIV)",165,João Pedro,CHE,FWD,7.5,Nailed Starter,True,3.4463,0.4887,0.1203,,,,,,,4.82,77.5,3.94,77.5,3.96,77.5
"WC4 Option 2 (Cheap DEF <= £31.5m, min 3 LIV)",445,Thiaw,NEW,DEF,5.0,Nailed Starter,True,8.8694,0.1458,0.0292,,,,,,,3.71,77.5,4.94,77.5,4.76,77.5
"WC4 Option 2 (Cheap DEF <= £31.5m, min 3 LIV)",140,Sánchez,CHE,GKP,5.0,Nailed Starter,True,0.0,0.0,0.0007,,,,,,,4.07,77.5,3.33,77.5,3.34,77.5
"WC4 Option 2 (Cheap DEF <= £31.5m, min 3 LIV)",173,Thomas,COV,DEF,4.0,Regular Starter,True,9.102,0.091,0.043,,,,,,,4.08,62.0,3.38,62.0,4.12,62.0
"WC4 Option 2 (Cheap DEF <= £31.5m, min 3 LIV)",274,Butland,HUL,GKP,4.5,Regular Starter,False,0.0,0.0,0.0,,,,,,,2.64,62.0,3.21,62.0,3.12,62.0
"WC4 Option 2 (Cheap DEF <= £31.5m, min 3 LIV)",371,Gravenberch,LIV,MID,6.0,Nailed Starter,False,7.2532,0.0786,0.0863,,,,,,,3.31,77.5,3.0,77.5,2.73,77.5
"WC4 Option 2 (Cheap DEF <= £31.5m, min 3 LIV)",280,Coyle,HUL,DEF,4.0,Regular Starter,False,7.36,0.03,0.125,,,,,,,2.47,62.0,3.12,62.0,3.05,62.0
"WC4 Option 2 (Cheap DEF <= £31.5m, min 3 LIV)",277,Egan,HUL,DEF,4.0,Regular Starter,False,0.0,0.0317,0.0,,,,,,,0.54,62.0,1.1,62.0,1.07,62.0
